"","country","year","population"
"1","Australia",1995,18124234
"2","Australia",1996,18339037
"3","Australia",1997,18563442
"4","Australia",1998,18794552
"5","Australia",1999,19027438
"6","Australia",2000,19259377
"7","Australia",2001,19487257
"8","Australia",2002,19714625
"9","Australia",2003,19953121
"10","Australia",2004,20218481
"11","Australia",2005,20520736
"12","Australia",2006,20865583
"13","Australia",2007,21246274
"14","Australia",2008,21645095
"15","Australia",2009,22037143
"16","Australia",2010,22404488
"17","Australia",2011,22740536
"18","Australia",2012,23050471
"19","Australia",2013,23342553
"20","Canada",1995,29294899
"21","Canäda",1996,29586368
"22","Canada",1997,29866502
"23","Canada",1998,30140562
"24","Canada",1999,30415664
"25","Canäda",2000,30697425
"26","Canada",2001,30986788
"27","Canada",2002,31283746
"28","Canada",2003,31591631
"29","Canäda",2004,31914080
"30","Canada",2005,32253092
"31","Canada",2006,32610984
"32","Canada",2007,32985806
"33","Canäda",2008,33369898
"34","Canada",2009,33752618
"35","Canada",2010,34126240
"36","Canada",2011,34487414
"37","Canäda",2012,34837978
"38","Canada",2013,35181704
"39","New Zealand",1995,3675060
"40","New Zealand",1996,3717342
"41","New Zealand",1997,3752131
"42","New Zealand",1998,3783470
"43","New Zealand",1999,3817367
"44","New Zealand",2000,3858032
"45","New Zealand",2001,3906817
"46","New Zealand",2002,3961937
"47","New Zealand",2003,4020706
"48","New Zealand",2004,4079075
"49","New Zealand",2005,4134117
"50","New Zealand",2006,4185020
"51","New Zealand",2007,4232734
"52","New Zealand",2008,4278186
"53","New Zealand",2009,4322941
"54","New Zealand",2010,4368136
"55","New Zealand",2011,4413923
"56","New Zealand",2012,4459852
"57","New Zealand",2013,4505761
"58","United Kingdom of Great Britain and Northern Ireland",1995,57997197
"59","United Kingdom of Great Britain and Northern Ireland",1996,58168519
"60","United Kingdom of Great Britain and Northern Ireland",1997,58346633
"61","United Kingdom of Great Britain and Northern Ireland",1998,58534306
"62","United Kingdom of Great Britain and Northern Ireland",1999,58735006
"63","United Kingdom of Great Britain and Northern Ireland",2000,58951444
"64","United Kingdom of Great Britain and Northern Ireland",2001,59183774
"65","United Kingdom of Great Britain and Northern Ireland",2002,59431937
"66","United Kingdom of Great Britain and Northern Ireland",2003,59697954
"67","United Kingdom of Great Britain and Northern Ireland",2004,59984118
"68","United Kingdom of Great Britain and Northern Ireland",2005,60291414
"69","United Kingdom of Great Britain and Northern Ireland",2006,60620907
"70","United Kingdom of Great Britain and Northern Ireland",2007,60970360
"71","United Kingdom of Great Britain and Northern Ireland",2008,61333257
"72","United Kingdom of Great Britain and Northern Ireland",2009,61700797
"73","United Kingdom of Great Britain and Northern Ireland",2010,62066350
"74","United Kingdom of Great Britain and Northern Ireland",2011,62426923
"75","United Kingdom of Great Britain and Northern Ireland",2012,62783115
"76","United Kingdom of Great Britain and Northern Ireland",2013,63136265
"77","United States of America",1995,268039654
"78","United States of America",1996,271231546
"79","United States of America",1997,274606475
"80","United States of America",1998,278053607
"81","United States of America",1999,281419130
"82","United States of America",2000,284594395
"83","United States of America",2001,287532638
"84","United States of America",2002,290270187
"85","United States of America",2003,292883010
"86","United States of America",2004,295487267
"87","United States of America",2005,298165797
"88","United States of America",2006,300942917
"89","United States of America",2007,303786752
"90","United States of America",2008,306657153
"91","United States of America",2009,309491893
"92","United States of America",2010,312247116
"93","United States of America",2011,314911752
"94","United States of America",2012,317505266
"95","United States of America",2013,320050716
